"Index","Headline","Timestamp","Refered.stock","ml_sentiment","clean_timestamp","ts","trade_date","price_type","Ticker","Open","Close","entry_price","exit_date","exit_price","exit_reason","dollars_invested","shares","final_value","trade_return_pct"
1,"$919k META YOLO – Mark “Haircut” Zuckerberg Better Print Me Tendies","Saturday, November 1, 2025 at 12:25:24 AM EDT","META","positive","2025-11-01 00:25:24",2025-11-01 00:25:24,2025-11-03,"Open","META",656,637.710021972656,656,2025-11-12,609.010009765625,"SL",100,0.152439024390244,92.8368917325648,-0.0716310826743523
4,"3M+ META Yolo","Sunday, November 2, 2025 at 2:44:16 PM EST","META","positive","2025-11-02 14:44:16",2025-11-02 14:44:16,2025-11-03,"Open","META",656,637.710021972656,656,2025-11-12,609.010009765625,"SL",100,0.152439024390244,92.8368917325648,-0.0716310826743523
8,"200K+ YOLO on $HIMS","Monday, November 3, 2025 at 5:28:49 AM EST","HIMS","positive","2025-11-03 05:28:49",2025-11-03 05:28:49,2025-11-03,"Open","HIMS",46.9000015258789,44.3899993896484,46.9000015258789,2025-11-04,42.7900009155273,"SL",100,2.13219609267648,91.2366727577105,-0.0876332724228955
9,"50K YOLO, the only winning move is not to play","Monday, November 3, 2025 at 9:38:57 AM EST","GME","positive","2025-11-03 09:38:57",2025-11-03 09:38:57,2025-11-03,"Open","GME",22.25,22.1100006103516,22.25,2025-11-14,20.6599998474121,"SL",100,4.49438202247191,92.8539318984814,-0.0714606810151861
11,"$LUMN YOLO","Monday, November 3, 2025 at 10:40:27 AM EST","LUMN","positive","2025-11-03 10:40:27",2025-11-03 10:40:27,2025-11-03,"Open","LUMN",10.0200004577637,11.8299999237061,10.0200004577637,2025-11-11,9.25,"SL",100,9.98003946422161,92.3153650440499,-0.0768463495595014
12,"HTZ earnings $30k YOLO","Monday, November 3, 2025 at 11:28:48 AM EST","HTZ","positive","2025-11-03 11:28:48",2025-11-03 11:28:48,2025-11-03,"Open","HTZ",5.19999980926514,4.94000005722046,5.19999980926514,2025-11-04,6.73000001907349,"TP",100,19.2307699361497,129.423082037085,0.294230820370851
14,"100K yolo on $AMD earnings","Monday, November 3, 2025 at 1:02:16 PM EST","AMD","positive","2025-11-03 13:02:16",2025-11-03 13:02:16,2025-11-03,"Close","AMD",259.329986572266,259.649993896484,259.649993896484,2025-11-06,237.699996948242,"SL",100,0.385133843060545,91.5463133201563,-0.0845368667984374
15,"1.5mil YOLO on PLTR earnings","Monday, November 3, 2025 at 1:27:10 PM EST","PLTR","positive","2025-11-03 13:27:10",2025-11-03 13:27:10,2025-11-03,"Close","PLTR",205.044998168945,207.179992675781,207.179992675781,2025-11-04,190.740005493164,"SL",100,0.482672089657283,92.0648770326272,-0.0793512296737278
17,"FRODO BAG(HOLD)INS - PLTR 3DTE SHORT YOLOOO","Tuesday, November 4, 2025 at 11:31:30 AM EST","PLTR","positive","2025-11-04 11:31:30",2025-11-04 11:31:30,2025-11-04,"Open","PLTR",192.070007324219,190.740005493164,192.070007324219,2025-11-06,175.050003051758,"SL",100,0.520643495531281,91.1386454816286,-0.0886135451837139
18,"MSTY and ULTY ate all my gains from this year :-/","Tuesday, November 4, 2025 at 3:14:36 PM EST","MSTY","positive","2025-11-04 15:14:36",2025-11-04 15:14:36,2025-11-04,"Close","MSTY",9.64445066311476,9.3285436630249,9.3285436630249,2025-11-12,8.5952320098877,"SL",100,10.7197868833873,92.1390553592647,-0.0786094464073528
19,"$JOBY Earnings YOLO.","Tuesday, November 4, 2025 at 3:30:27 PM EST","JOBY","positive","2025-11-04 15:30:27",2025-11-04 15:30:27,2025-11-04,"Close","JOBY",15.6999998092651,14.7600002288818,14.7600002288818,2025-11-19,13.6700000762939,"SL",100,6.77506764561721,92.6151752324839,-0.0738482476751606
20,"SOUN 60k earning yolo","Tuesday, November 4, 2025 at 3:39:17 PM EST","SOUN","positive","2025-11-04 15:39:17",2025-11-04 15:39:17,2025-11-04,"Close","SOUN",16.2399997711182,15.1300001144409,15.1300001144409,2025-11-11,13.4399995803833,"SL",100,6.60938527717223,88.8301353517864,-0.111698646482136
28,"$BROS Earnings YOLO","Tuesday, November 4, 2025 at 6:37:39 PM EST","BROS","positive","2025-11-04 18:37:39",2025-11-04 18:37:39,2025-11-04,"Close","BROS",54.0499992370605,55.1699981689453,55.1699981689453,2025-11-18,51.2999992370605,"SL",100,1.81257936050266,92.9853198108983,-0.0701468018910169
29,"100k yolo - ET phone home","Tuesday, November 4, 2025 at 8:02:15 PM EST","ET","positive","2025-11-04 20:02:15",2025-11-04 20:02:15,2025-11-04,"Close","ET",16.4389747745463,16.223316192627,16.223316192627,2025-11-28,16.7099990844727,"EOM",100,6.16396788502755,102.999897715529,0.0299989771552926
39,"$SEZL Long and strong","Wednesday, November 5, 2025 at 12:21:03 PM EST","SEZL","positive","2025-11-05 12:21:03",2025-11-05 12:21:03,2025-11-05,"Open","SEZL",61.5999984741211,66.25,61.5999984741211,2025-11-11,56.7099990844727,"SL",100,1.6233766635889,92.0616891058808,-0.0793831089411923
40,"50k Earnings YOLO for my $BROS","Wednesday, November 5, 2025 at 1:10:17 PM EST","BROS","positive","2025-11-05 13:10:17",2025-11-05 13:10:17,2025-11-05,"Close","BROS",54.8300018310547,55.560001373291,55.560001373291,2025-11-17,51.6199989318848,"SL",100,1.79985596703157,92.908563095716,-0.0709143690428398
52,"370k HOOD earnings YOLO","Wednesday, November 5, 2025 at 8:31:27 PM EST","HOOD","positive","2025-11-05 20:31:27",2025-11-05 20:31:27,2025-11-05,"Close","HOOD",139.634994506836,142.479995727539,142.479995727539,2025-11-06,127.080001831055,"SL",100,0.701852912679949,89.191469428499,-0.10808530571501
53,"500k $DNUT YOLO","Wednesday, November 5, 2025 at 8:44:09 PM EST","DNUT","positive","2025-11-05 20:44:09",2025-11-05 20:44:09,2025-11-05,"Close","DNUT",3.48000001907349,3.76999998092651,3.76999998092651,2025-11-28,4.17999982833862,"EOM",100,26.5251990731905,110.875327572584,0.108753275725839
60,"Draftkings $DKNG YOLO and why","Thursday, November 6, 2025 at 9:05:08 AM EST","DKNG","positive","2025-11-06 09:05:08",2025-11-06 09:05:08,2025-11-06,"Open","DKNG",29,27.9799995422363,29,2025-11-28,33.1599998474121,"EOM",100,3.44827586206897,114.344827060042,0.143448270600417
67,"Take losses now or hold out?","Thursday, November 6, 2025 at 2:08:19 PM EST","META","positive","2025-11-06 14:08:19",2025-11-06 14:08:19,2025-11-06,"Close","META",635.849975585938,618.940002441406,618.940002441406,2025-11-28,647.950012207031,"EOM",100,0.161566548624342,104.687047153391,0.046870471533905
69,"T1 Energy - TE YOLO","Thursday, November 6, 2025 at 2:25:35 PM EST","TE","positive","2025-11-06 14:25:35",2025-11-06 14:25:35,2025-11-06,"Close","TE",4.1100001335144,3.6800000667572,3.6800000667572,2025-11-14,3.35999989509583,"SL",100,27.1739125505287,91.3043433191196,-0.0869565668088044
71,"MSFT YOLO (+15k)","Thursday, November 6, 2025 at 3:11:50 PM EST","MSFT","positive","2025-11-06 15:11:50",2025-11-06 15:11:50,2025-11-06,"Close","MSFT",504.715362529029,496.171356201172,496.171356201172,2025-11-28,492.010009765625,"EOM",100,0.20154327481866,99.1613086117249,-0.00838691388275081
78,"GOOGL Six Figure Gains","Friday, November 7, 2025 at 5:30:19 AM EST","GOOGL","positive","2025-11-07 05:30:19",2025-11-07 05:30:19,2025-11-07,"Open","GOOGL",283.209991455078,278.829986572266,283.209991455078,2025-11-28,320.179992675781,"EOM",100,0.353094887246807,113.053918412538,0.130539184125385
82,"25K GAP YOLO","Friday, November 7, 2025 at 11:35:15 AM EST","GAP","positive","2025-11-07 11:35:15",2025-11-07 11:35:15,2025-11-07,"Open","GAP",22.8600006103516,23.4599990844727,22.8600006103516,2025-11-28,27.0699996948242,"EOM",100,4.37445307655493,118.416443447365,0.184164434473649
85,"$35k yolo on PM","Friday, November 7, 2025 at 2:56:49 PM EST","PM","positive","2025-11-07 14:56:49",2025-11-07 14:56:49,2025-11-07,"Close","PM",151.25,153.389999389648,153.389999389648,2025-11-28,157.479995727539,"EOM",100,0.651932983883619,102.666403516634,0.026664035166341
88,"JOBY 85k YOLO","Friday, November 7, 2025 at 5:38:46 PM EST","JOBY","positive","2025-11-07 17:38:46",2025-11-07 17:38:46,2025-11-10,"Open","JOBY",15.6199998855591,15.7700004577637,15.6199998855591,2025-11-14,14.4099998474121,"SL",100,6.4020487024748,92.2535208257867,-0.0774647917421327
90,"$NICE $HOG 26K & 290K YOLO","Friday, November 7, 2025 at 8:36:04 PM EST","NICE","positive","2025-11-07 20:36:04",2025-11-07 20:36:04,2025-11-10,"Open","NICE",124.470001220703,127.980003356934,124.470001220703,2025-11-18,105.650001525879,"SL",100,0.803406435440502,84.87989113019,-0.151201088698101
91,"$NICE $HOG 26K & 290K YOLO","Friday, November 7, 2025 at 8:36:04 PM EST","HOG ","positive","2025-11-07 20:36:04",2025-11-07 20:36:04,2025-11-10,"Open","HOG",25.5900001525879,25.2399997711182,25.5900001525879,2025-11-18,23.75,"SL",100,3.90777645188435,92.8096907322534,-0.0719030926774659
101,"NUAI yolo","Monday, November 10, 2025 at 12:56:45 AM EST","NUAI","positive","2025-11-10 00:56:45",2025-11-10 00:56:45,2025-11-10,"Open","NUAI",5.59000015258789,5.08500003814697,5.59000015258789,2025-11-10,5.08500003814697,"SL",100,17.8890871682186,90.966008932806,-0.0903399106719395
105,"Back to the WULF den, $69k YOLO","Monday, November 10, 2025 at 12:07:20 PM EST","WULF","positive","2025-11-10 12:07:20",2025-11-10 12:07:20,2025-11-10,"Open","WULF",14.5,14.3000001907349,14.5,2025-11-11,12.3699998855591,"SL",100,6.89655172413793,85.3103440383385,-0.146896559616615
106,"MUnday gains","Monday, November 10, 2025 at 12:16:25 PM EST","MU","positive","2025-11-10 12:16:25",2025-11-10 12:16:25,2025-11-10,"Open","MU",247.960006713867,253.300003051758,247.960006713867,2025-11-18,228.5,"SL",100,0.403290842443777,92.151957498403,-0.0784804250159705
107,"Decade of Losses. I’m fixing it. (YOLO in $BEAM)","Monday, November 10, 2025 at 12:47:43 PM EST","BEAM","positive","2025-11-10 12:47:43",2025-11-10 12:47:43,2025-11-10,"Close","BEAM",23.2299995422363,21.6499996185303,21.6499996185303,2025-11-28,25.329999923706,"EOM",100,4.61893772572679,116.997692240262,0.169976922402625
112,"Fat MU Gains","Tuesday, November 11, 2025 at 6:19:01 AM EST","MU","positive","2025-11-11 06:19:01",2025-11-11 06:19:01,2025-11-11,"Open","MU",248.339996337891,241.110000610352,248.339996337891,2025-11-18,228.5,"SL",100,0.402673759662702,92.0109540829273,-0.0798904591707266
114,"Is this what you call diamond hands?","Tuesday, November 11, 2025 at 12:56:11 PM EST","FLNC","positive","2025-11-11 12:56:11",2025-11-11 12:56:11,2025-11-11,"Close","FLNC",21.0300006866455,20.7299995422363,20.7299995422363,2025-11-12,19.2099990844727,"SL",100,4.82392678283736,92.6676290818688,-0.0733237091813121
119,"SQQQ yolo for 45K","Tuesday, November 11, 2025 at 5:02:38 PM EST","SQQQ","positive","2025-11-11 17:02:38",2025-11-11 17:02:38,2025-11-11,"Close","SQQQ",68.3000030517578,67.9499969482422,67.9499969482422,2025-11-28,68.4100036621094,"EOM",100,1.47167041193792,100.676978270091,0.00676978270091144
120,"55K+ AAOI YOLO","Tuesday, November 11, 2025 at 5:35:40 PM EST","AAOI","positive","2025-11-11 17:35:40",2025-11-11 17:35:40,2025-11-11,"Close","AAOI",24.7199993133545,23.75,23.75,2025-11-13,20.9099998474121,"SL",100,4.21052631578947,88.0421046206826,-0.119578953793174
130,"SQQQ YOLO 2","Wednesday, November 12, 2025 at 9:58:28 AM EST","SQQQ","positive","2025-11-12 09:58:28",2025-11-12 09:58:28,2025-11-12,"Open","SQQQ",66.9499969482422,68.1500015258789,66.9499969482422,2025-11-28,68.4100036621094,"EOM",100,1.49365204717348,102.180742017055,0.0218074201705476
134,"Sweetgreen YOLO","Wednesday, November 12, 2025 at 11:48:24 AM EST","SG","positive","2025-11-12 11:48:24",2025-11-12 11:48:24,2025-11-12,"Open","SG",5.48000001907349,5.36999988555908,5.48000001907349,2025-11-25,6.8600001335144,"TP",100,18.2481751189678,125.182483752514,0.251824837525135
138,"Netflix (NFLX) is still a great buy","Wednesday, November 12, 2025 at 2:42:28 PM EST","NFLX","positive","2025-11-12 14:42:28",2025-11-12 14:42:28,2025-11-12,"Close","NFLX",113.817001342773,115.75,115.75,2025-11-20,105.669998168945,"SL",100,0.863930885529158,91.2915750919614,-0.0870842490803859
142,"Jus Hold they say 🔥","Wednesday, November 12, 2025 at 4:57:39 PM EST","NFLX","positive","2025-11-12 16:57:39",2025-11-12 16:57:39,2025-11-12,"Close","NFLX",113.817001342773,115.75,115.75,2025-11-20,105.669998168945,"SL",100,0.863930885529158,91.2915750919614,-0.0870842490803859
146,"Gld Gains","Wednesday, November 12, 2025 at 11:30:07 PM EST","GLD","positive","2025-11-12 23:30:07",2025-11-12 23:30:07,2025-11-12,"Close","GLD",380.070007324219,385.989990234375,385.989990234375,2025-11-28,387.880004882812,"EOM",100,0.259074075831033,100.489653798351,0.00489653798351064
147,"$BULL yolo","Thursday, November 13, 2025 at 11:29:08 AM EST","BULL","positive","2025-11-13 11:29:08",2025-11-13 11:29:08,2025-11-13,"Open","BULL",9.67000007629394,9.01000022888184,9.67000007629394,2025-11-14,8.63000011444092,"SL",100,10.3412615523293,89.2450883800654,-0.107549116199346
154,"Saw another BULLtard YOLO'ing so I thought I'd share my BULLYOLO","Thursday, November 13, 2025 at 7:23:29 PM EST","BULL","positive","2025-11-13 19:23:29",2025-11-13 19:23:29,2025-11-13,"Close","BULL",9.67000007629394,9.01000022888184,9.01000022888184,2025-11-17,8.14999961853027,"SL",100,11.098778852352,90.4550434128203,-0.095449565871797
158,"Nonstop gains on NVDA","Friday, November 14, 2025 at 12:50:23 AM EST","NVDA","positive","2025-11-14 00:50:23",2025-11-14 00:50:23,2025-11-14,"Open","NVDA",182.860000610352,190.169998168945,182.860000610352,2025-11-28,177,"EOM",100,0.546866453386302,96.7953622493755,-0.0320463775062454
161,"$MU gains","Friday, November 14, 2025 at 9:52:27 AM EST","MU","positive","2025-11-14 09:52:27",2025-11-14 09:52:27,2025-11-14,"Open","MU",231.449996948242,246.830001831055,231.449996948242,2025-11-20,201.369995117188,"SL",100,0.432058765688221,87.0036715369751,-0.129963284630249
162,"$92k ASPI YOLO","Friday, November 14, 2025 at 11:27:00 AM EST","ASPI","positive","2025-11-14 11:27:00",2025-11-14 11:27:00,2025-11-14,"Open","ASPI",7.69999980926514,8.10999965667725,7.69999980926514,2025-11-20,6.64499998092651,"SL",100,12.9870133087112,86.2987031886783,-0.137012968113217
164,"My +30% gain in NBIS now sits at +6%. I’m ready to buy more","Friday, November 14, 2025 at 1:13:48 PM EST","NBIS","positive","2025-11-14 13:13:48",2025-11-14 13:13:48,2025-11-14,"Close","NBIS",82.3600006103516,83.5400009155273,83.5400009155273,2025-11-28,94.870002746582,"EOM",100,1.19703134910324,113.56236737717,0.135623673771696
170,"YOLO’d $1.5K into TSLA 0DTE OTM calls, entered at open, sold for 300% gain in an hour. And scalped some MSTR. Lucky Friday in my new account","Friday, November 14, 2025 at 3:35:45 PM EST","TSLA","positive","2025-11-14 15:35:45",2025-11-14 15:35:45,2025-11-14,"Close","TSLA",386.299987792969,404.350006103516,404.350006103516,2025-11-28,430.170013427734,"EOM",100,0.247310494597593,106.385558781866,0.0638555878186602
173,"GOOGL 35k $ Gains","Friday, November 14, 2025 at 5:51:34 PM EST","GOOGL","positive","2025-11-14 17:51:34",2025-11-14 17:51:34,2025-11-17,"Open","GOOGL",285.779998779297,285.019989013672,285.779998779297,2025-11-28,320.179992675781,"EOM",100,0.349919520005416,112.037229352447,0.120372293524471
177,"SNAP 50K YOLO w/ confirmation bias","Saturday, November 15, 2025 at 5:09:16 AM EST","SNAP","positive","2025-11-15 05:09:16",2025-11-15 05:09:16,2025-11-17,"Open","SNAP",8.56999969482422,8.18000030517578,8.56999969482422,2025-11-20,7.78000020980835,"SL",100,11.6686118507559,90.7818026470528,-0.092181973529472
187,"$PACS tax free gains","Monday, November 17, 2025 at 3:08:53 PM EST","PACS","positive","2025-11-17 15:08:53",2025-11-17 15:08:53,2025-11-17,"Close","PACS",12.8500003814697,15.6999998092651,15.6999998092651,2025-11-18,14.4300003051758,"SL",100,6.36942682897272,91.9108310858712,-0.0808916891412881
188,"$26k GOOG Gains","Monday, November 17, 2025 at 5:32:59 PM EST","GOOG","positive","2025-11-17 17:32:59",2025-11-17 17:32:59,2025-11-17,"Close","GOOG",286.399993896484,285.600006103516,285.600006103516,2025-11-28,320.119995117188,"EOM",100,0.350140048539617,112.086830628834,0.120868306288341
196,"Since I lost most of my money on fake meat. I decided to buy some real meat at Wendy’s","Tuesday, November 18, 2025 at 12:47:22 PM EST","WEN","positive","2025-11-18 12:47:22",2025-11-18 12:47:22,2025-11-18,"Close","WEN",8.20182225212961,8.09364414215088,8.09364414215088,2025-11-28,8.30999946594238,"EOM",100,12.3553739506794,102.673150931664,0.0267315093166436
204,"YOLO $23k LUNR","Wednesday, November 19, 2025 at 9:38:20 AM EST","LUNR","positive","2025-11-19 09:38:20",2025-11-19 09:38:20,2025-11-19,"Open","LUNR",9.25,8.76500034332275,9.25,2025-11-20,8.05000019073486,"SL",100,10.8108108108108,87.0270290890255,-0.129729709109745
205,"TSLA puts yolo 45k","Wednesday, November 19, 2025 at 11:35:56 AM EST","TSLA","positive","2025-11-19 11:35:56",2025-11-19 11:35:56,2025-11-19,"Open","TSLA",406.179992675781,403.989990234375,406.179992675781,2025-11-28,430.170013427734,"EOM",100,0.246196272103982,105.906253676828,0.05906253676828
213,"PACS 2 moon","Thursday, November 20, 2025 at 9:49:19 AM EST","PACS","positive","2025-11-20 09:49:19",2025-11-20 09:49:19,2025-11-20,"Open","PACS",25.6900005340576,26.1399993896484,25.6900005340576,2025-11-26,32.1599998474121,"TP",100,3.89256511954636,125.184893650653,0.251848936506526
232,"One million dollars bet on $SPT, down 20%, will hold till 25$","Friday, November 21, 2025 at 5:29:59 AM EST","SPT","positive","2025-11-21 05:29:59",2025-11-21 05:29:59,2025-11-21,"Open","SPT",9.35000038146973,9.75,9.35000038146973,2025-11-28,9.97000026702881,"EOM",100,10.6951867294235,106.631014548276,0.0663101454827559
240,"59k YOLO NVIDIA","Friday, November 21, 2025 at 3:44:20 PM EST","NVDA","positive","2025-11-21 15:44:20",2025-11-21 15:44:20,2025-11-21,"Close","NVDA",181.240005493164,178.880004882812,178.880004882812,2025-11-28,177,"EOM",100,0.559033974006831,98.9490133992091,-0.0105098660079093
253,"Big G for the win !!!!","Monday, November 24, 2025 at 1:17:29 PM EST","GOOGL","positive","2025-11-24 13:17:29",2025-11-24 13:17:29,2025-11-24,"Close","GOOGL",311.130004882812,318.579986572266,318.579986572266,2025-11-28,320.179992675781,"EOM",100,0.313892912972788,100.502230576607,0.00502230576606766
254,"PSKY $70K YOLO","Monday, November 24, 2025 at 2:16:30 PM EST","PSKY","positive","2025-11-24 14:16:30",2025-11-24 14:16:30,2025-11-24,"Close","PSKY",15.8900003433228,15.0600004196167,15.0600004196167,2025-11-28,16.0200004577637,"EOM",100,6.64010605668663,106.374502067719,0.063745020677191
255,"GOOG Gains","Monday, November 24, 2025 at 2:27:09 PM EST","GOOG","positive","2025-11-24 14:27:09",2025-11-24 14:27:09,2025-11-24,"Close","GOOG",311.010009765625,318.470001220703,318.470001220703,2025-11-28,320.119995117188,"EOM",100,0.314001317601964,100.518100257531,0.00518100257531295
268,"$837k META yolo","Tuesday, November 25, 2025 at 5:12:22 PM EST","META","positive","2025-11-25 17:12:22",2025-11-25 17:12:22,2025-11-25,"Close","META",624,636.219970703125,636.219970703125,2025-11-28,647.950012207031,"EOM",100,0.157178341776169,101.84370847255,0.0184370847254962
273,"Locked in profits on GOOGL — gains are gains!","Wednesday, November 26, 2025 at 3:24:12 AM EST","GOOGL","positive","2025-11-26 03:24:12",2025-11-26 03:24:12,2025-11-26,"Open","GOOGL",320.679992675781,319.950012207031,320.679992675781,2025-11-28,320.179992675781,"EOM",100,0.31183735276277,99.8440813236186,-0.00155918676381395
279,"Since You Guys Hate BMNR so much I decided to buy it.","Wednesday, November 26, 2025 at 5:24:45 PM EST","BMNR","positive","2025-11-26 17:24:45",2025-11-26 17:24:45,2025-11-26,"Close","BMNR",30.3199996948242,31.7399997711182,31.7399997711182,2025-11-28,33.1199989318848,"EOM",100,3.15059863645604,104.347823474222,0.0434782347422173
